,image_name,tags,is_cloudy,is_water,is_habitation,is_partly_cloudy,is_conventional_mine,is_agriculture,is_slash_burn,is_blow_down,is_primary,is_artisinal_mine,is_cultivation,is_bare_ground,is_selective_logging,is_road,is_blooming,is_haze,is_clear
0,train_0.jpg,haze primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,train_1.jpg,agriculture clear primary water,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2,train_2.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,train_3.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,train_4.jpg,agriculture clear habitation primary road,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
5,train_5.jpg,haze primary water,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6,train_6.jpg,agriculture clear cultivation primary water,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
7,train_7.jpg,haze primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8,train_8.jpg,agriculture clear cultivation primary,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
9,train_9.jpg,agriculture clear cultivation primary road,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
10,train_10.jpg,agriculture clear primary slash_burn water,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
11,train_11.jpg,clear primary water,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12,train_12.jpg,cloudy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,train_13.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14,train_14.jpg,cloudy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,train_15.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
16,train_16.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
17,train_17.jpg,partly_cloudy primary,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
18,train_18.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
19,train_19.jpg,agriculture clear primary road,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
20,train_20.jpg,agriculture clear primary water,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
21,train_21.jpg,clear primary road water,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
22,train_22.jpg,partly_cloudy primary,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
23,train_23.jpg,agriculture clear primary road,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
24,train_24.jpg,conventional_mine partly_cloudy primary,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
25,train_25.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
26,train_26.jpg,cloudy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,train_27.jpg,agriculture partly_cloudy primary water,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
28,train_28.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
29,train_29.jpg,partly_cloudy primary,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
30,train_30.jpg,clear primary water,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
31,train_31.jpg,clear cultivation primary,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
32,train_32.jpg,agriculture clear primary road,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
33,train_33.jpg,agriculture cultivation partly_cloudy primary,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
34,train_34.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
35,train_35.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36,train_36.jpg,agriculture clear primary road,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
37,train_37.jpg,partly_cloudy primary,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
38,train_38.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
39,train_39.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40,train_40.jpg,agriculture clear cultivation primary,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
41,train_41.jpg,agriculture clear primary,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
42,train_42.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
43,train_43.jpg,bare_ground haze,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
44,train_44.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
45,train_45.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
46,train_46.jpg,bare_ground clear habitation primary,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
47,train_47.jpg,clear primary water,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
48,train_48.jpg,clear primary water,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
49,train_49.jpg,clear primary,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,train_50.jpg,cloudy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
